moth,day,maxima,minima,humedad,presion,velocidad,fecha
julio,1,30,12,100,1028,25.9,01/07/2022
julio,2,28,15,100,1027,31.5,02/07/2022
julio,3,30,16,100,1028,25.9,03/07/2022
julio,4,27,15,100,1035,37,04/07/2022
julio,5,27,17,82.5,1029,35.2,05/07/2022
julio,6,28,12,100,1028,42.6,06/07/2022
julio,7,26,14,100,1028,27.8,07/07/2022
julio,8,29,15,100,1029,33.3,08/07/2022
julio,9,29,15,87.8,1031,35.2,09/07/2022
julio,10,29,12,100,1030,37,10/07/2022
julio,11,30,11,100,1028,31.5,11/07/2022
julio,12,30,12,100,1027,37,12/07/2022
julio,13,28,13,100,1028,33.3,13/07/2022
julio,14,27,13,100,1028,33.3,14/07/2022
julio,15,27,11,100,1029,37,15/07/2022
julio,16,26,16,82.6,1028,46.3,16/07/2022
julio,17,27,14,100,1028,35.2,17/07/2022
julio,18,26,14,82.1,1028,29.6,18/07/2022
julio,19,30,12,100,1030,20.4,19/07/2022
julio,20,29,15,100,1029,44.4,20/07/2022
julio,21,31,13,100,1027,35.2,21/07/2022
julio,22,30,11,71.2,1028,33.3,22/07/2022
julio,23,28,13,100,1028,29.6,23/07/2022
julio,24,27,13,100,1029,37,24/07/2022
julio,25,26,14,87.7,1028,33.3,25/07/2022
julio,26,29,13,87.7,1029,33.3,26/07/2022
julio,27,25,13,100,1028,27.8,27/07/2022
julio,28,24,11,100,1028,27.8,28/07/2022
julio,29,23,16,100,1028,27.8,29/07/2022
julio,30,26,13,100,1029,33.3,30/07/2022
julio,31,27,11,100,1030,27.8,31/07/2022
agosto,1,27,13,100,1030,29.6,01/08/2022
agosto,2,28,16,87.9,1030,29.6,02/08/2022
agosto,3,27,14,100,1028,37,03/08/2022
agosto,4,28,14,100,1027,27.8,04/08/2022
agosto,5,27,13,100,1027,33.3,05/08/2022
agosto,6,27,13,100,1028,33.3,06/08/2022
agosto,7,27,16,82.4,1029,37,07/08/2022
agosto,8,25,12,100,1029,38.9,08/08/2022
agosto,9,26,10,100,1029,33.3,09/08/2022
agosto,10,26,15,93.7,1030,27.8,10/08/2022
agosto,11,28,12,100,1030,25.9,11/08/2022
agosto,12,27,12,100,1028,35.2,12/08/2022
agosto,13,29,12,100,1028,29.6,13/08/2022
agosto,14,27,14,100,1028,37,14/08/2022
agosto,15,24,15,100,1026,37,15/08/2022
agosto,16,24,15,100,1026,20.4,16/08/2022
agosto,17,25,14,100,1028,33.3,17/08/2022
agosto,18,27,15,100,1028,29.6,18/08/2022
agosto,19,26,12,100,1027,27.8,19/08/2022
agosto,20,24,14,100,1028,25.9,20/08/2022
agosto,21,24,15,100,1030,25.9,21/08/2022
agosto,22,27,12,100,1028,24.1,22/08/2022
agosto,23,28,14,100,1026,42.6,23/08/2022
agosto,24,26,14,100,1027,25.9,24/08/2022
agosto,25,27,13,100,1028,25.9,25/08/2022
agosto,26,26,14,100,1028,27.8,26/08/2022
agosto,27,26,13,100,1027,25.9,27/08/2022
agosto,28,24,16,100,1025,24.1,28/08/2022
agosto,29,26,12,100,1026,33.3,29/08/2022
agosto,30,26,16,100,1027,22.2,30/08/2022
agosto,31,27,16,100,1028,27.8,31/08/2022
septiembre,1,26,14,100,1028,31.5,01/09/2022
septiembre,2,25,14,100,1026,35.2,02/09/2022
septiembre,3,24,16,100,1027,33.3,03/09/2022
septiembre,4,24,13,100,1026,40.7,04/09/2022
septiembre,5,24,15,100,1026,27.8,05/09/2022
septiembre,6,25,14,100,1029,22.2,06/09/2022
septiembre,7,24,14,100,1030,25.9,07/09/2022
septiembre,8,21,15,100,1027,18.5,08/09/2022
septiembre,9,25,10,100,1024,16.7,09/09/2022
septiembre,10,26,11,100,1026,27.8,10/09/2022
septiembre,11,25,13,100,1030,25.9,11/09/2022
septiembre,12,22,14,100,1030,25.9,12/09/2022
septiembre,13,24,11,100,1027,25.9,13/09/2022
septiembre,14,24,9,100,1026,27.8,14/09/2022
septiembre,15,21,13,100,1038,37,15/09/2022
septiembre,16,21,13,100,1027,33.3,16/09/2022
septiembre,17,24,14,100,1026,42.6,17/09/2022
septiembre,18,24,16,100,1026,27.8,18/09/2022
septiembre,19,23,16,100,1026,35.2,19/09/2022
septiembre,20,23,14,100,1027,35.2,20/09/2022
septiembre,21,24,12,100,1027,33.3,21/09/2022
septiembre,22,22,10,100,1028,37,22/09/2022
septiembre,23,23,14,100,1028,25.9,23/09/2022
septiembre,24,26,9,100,1029,27.8,24/09/2022
septiembre,25,26,11,100,1027,31.5,25/09/2022
septiembre,26,23,12,100,1026,33.3,26/09/2022
septiembre,27,20,14,93.7,1028,33.3,27/09/2022
septiembre,28,19,13,93.6,1031,27.8,28/09/2022
septiembre,29,18,10,100,1032,33.3,29/09/2022
septiembre,30,22,6,100,1029,29.6,30/09/2022
octubre,1,25,5,100,1028,29.6,01/10/2022
octubre,2,25,6,100,1028,35.2,02/10/2022
octubre,3,24,9,100,1029,33.3,03/10/2022
octubre,4,24,13,87.6,1029,27.8,04/10/2022
octubre,5,23,13,100,1028,25.9,05/10/2022
octubre,6,21,13,100,1029,27.8,06/10/2022
octubre,7,21,13,100,1031,25.9,07/10/2022
octubre,8,21,12,100,1032,33.3,08/10/2022
octubre,9,18,13,100,1032,31.5,09/10/2022
octubre,10,22,11,100,1030,40.7,10/10/2022
octubre,11,24,10,100,1029,27.8,11/10/2022
octubre,12,27,9,100,1028,25.9,12/10/2022
octubre,13,26,9,100,1028,29.6,13/10/2022
octubre,14,24,8,100,1028,27.8,14/10/2022
octubre,15,27,8,100,1028,22.2,15/10/2022
octubre,16,28,8,100,1027,27.8,16/10/2022
octubre,17,28,12,100,1026,22.2,17/10/2022
octubre,18,24,14,100,1027,33.3,18/10/2022
octubre,19,19,12,93.6,1031,38.9,19/10/2022
octubre,20,24,7,100,1031,24.1,20/10/2022
octubre,21,24,6,100,1028,20.4,21/10/2022
octubre,22,26,8,100,1027,18.5,22/10/2022
octubre,23,27,14,100,1027,27.8,23/10/2022
octubre,24,28,18,82.6,1028,31.5,24/10/2022
octubre,25,28,13,100,1028,24.1,25/10/2022
octubre,26,27,10,100,1028,22.2,26/10/2022
octubre,27,27,9,100,1027,29.6,27/10/2022
octubre,28,28,8,100,1028,25.9,28/10/2022
octubre,29,27,12,100,1029,22.2,29/10/2022
octubre,30,27,8,100,1028,24.1,30/10/2022
octubre,31,26,9,93.5,1025,22.2,31/10/2022
noviembre,1,26,9,100,1028,31.5,01/11/2022
noviembre,2,26,9,100,1032,25.9,02/11/2022
noviembre,3,27,8,100,1031,25.9,03/11/2022
noviembre,4,27,11,100,1028,25.9,04/11/2022
noviembre,5,26,9,71.4,1026,24.1,05/11/2022
noviembre,6,28,7,100,1027,16.7,06/11/2022
noviembre,7,25,9,100,1029,33.3,07/11/2022
noviembre,8,24,10,100,1031,29.6,08/11/2022
noviembre,9,25,10,100,1030,22.2,09/11/2022
noviembre,10,25,6,100,1028,31.5,10/11/2022
noviembre,11,25,6,81,1025,29.6,11/11/2022
noviembre,12,25,6,81,1028,18.5,12/11/2022
noviembre,13,26,13,93.6,1029,25.9,13/11/2022
noviembre,14,25,8,100,1028,22.2,14/11/2022
noviembre,15,26,5,86.9,1030,101.9,15/11/2022
noviembre,16,25,7,100,1032,25.9,16/11/2022
noviembre,17,24,9,100,1031,27.8,17/11/2022
noviembre,18,25,8,100,1029,29.6,18/11/2022
noviembre,19,25,8,100,1028,20.4,19/11/2022
noviembre,20,21,11,100,1031,29.6,20/11/2022
noviembre,21,20,11,100,1029,22.2,21/11/2022
noviembre,22,23,11,100,1030,16.7,22/11/2022
noviembre,23,25,12,100,1029,16.7,23/11/2022
noviembre,24,25,13,87.6,1027,27.8,24/11/2022
noviembre,25,25,9,100,1027,22.2,25/11/2022
noviembre,26,25,11,100,1027,25.9,26/11/2022
noviembre,27,24,12,93.6,1028,31.5,27/11/2022
noviembre,28,26,7,100,1027,31.5,28/11/2022
noviembre,29,25,7,100,1026,20.4,29/11/2022
noviembre,30,24,8,93.4,1027,37,30/11/2022
diciembre,1,22,11,100,1031,33.3,01/12/2022
diciembre,2,24,7,100,1031,22.2,02/12/2022
diciembre,3,23,8,100,1034,92.6,03/12/2022
diciembre,4,23,11,100,1034,33.3,04/12/2022
diciembre,5,25,4,100,1029,22.2,05/12/2022
diciembre,6,26,5,100,1028,11.1,06/12/2022
diciembre,7,26,4,86.8,1031,33.3,07/12/2022
diciembre,8,24,6,100,1032,22.2,08/12/2022
diciembre,9,24,7,100,1030,25.9,09/12/2022
diciembre,10,24,6,100,1029,25.9,10/12/2022
diciembre,11,25,4,93.2,1028,22.2,11/12/2022
diciembre,12,24,4,80.4,1027,22.2,12/12/2022
diciembre,13,22,5,93.3,1025,40.7,13/12/2022
diciembre,14,22,7,100,1024,29.6,14/12/2022
diciembre,15,24,2,74.7,1026,22.2,15/12/2022
diciembre,16,24,2,69.6,1026,27.8,16/12/2022
diciembre,17,23,3,69.6,1026,22.2,17/12/2022
diciembre,18,23,4,100,1028,18.5,18/12/2022
diciembre,19,24,4,100,1030,22.2,19/12/2022
diciembre,20,19,3,69.6,1034,29.6,20/12/2022
diciembre,21,23,3,74.9,1031,33.3,21/12/2022
diciembre,22,23,5,86.9,1029,25.9,22/12/2022
diciembre,23,19,7,93.5,1030,38.9,23/12/2022
diciembre,24,21,7,93.4,1031,18.5,24/12/2022
diciembre,25,19,6,100,1030,25.9,25/12/2022
diciembre,26,20,6,100,1030,25.9,26/12/2022
diciembre,27,20,3,100,1033,27.8,27/12/2022
diciembre,28,22,2,100,1029,31.5,28/12/2022
diciembre,29,20,5,93.3,1029,29.6,29/12/2022
diciembre,30,19,7,87.1,1028,27.8,30/12/2022
diciembre,31,23,5,100,1029,20.4,31/12/2022
